user_id,age,country,income_level,investment_experience,num_investments,total_invested
228,29,Italy,Medium,Novice,15,21648.03
229,35,France,High,Novice,17,21677.06
230,49,Germany,Medium,Novice,6,10669.72
231,38,Sweden,Low,Novice,13,19382.39
232,44,Sweden,Medium,Intermediate,20,28823.05
233,43,Austria,Medium,Novice,6,18026.97
234,23,Netherlands,Low,Novice,9,16176.16
235,43,Austria,Medium,Expert,5,14301.01
236,60,Austria,Medium,Novice,7,29519.58
237,30,Spain,Medium,Intermediate,7,14113.45
238,58,Italy,Medium,Novice,5,16233.85
239,53,France,High,Novice,5,4884.88
240,62,Italy,Low,Expert,7,4009.63
241,56,Austria,Low,Novice,9,16690.44
242,53,Germany,Medium,Novice,15,37156.49
243,25,Italy,High,Intermediate,12,19862.38
244,27,Italy,High,Novice,16,31670.4
245,63,Netherlands,Medium,Novice,11,23366.66
246,48,France,Medium,Novice,13,29627.01
247,30,Spain,Medium,Expert,7,14392.61
248,22,Netherlands,Medium,Expert,15,18139.27
249,39,Austria,Medium,Expert,19,38182.92
250,36,Sweden,Low,Intermediate,13,14131.48
251,60,Italy,High,Novice,13,29532.81
252,48,Netherlands,Medium,Intermediate,10,22669.05
253,42,Italy,High,Expert,13,25934.04
254,62,France,Medium,Novice,20,41557.48
255,44,Germany,Medium,Novice,11,21105.98
256,42,Italy,High,Intermediate,13,22637.22
257,59,France,Medium,Novice,12,23770.35
258,50,Spain,Medium,Novice,10,23464.38
259,46,Germany,Medium,Novice,11,26113.89
260,64,France,Medium,Intermediate,19,31186.43
261,27,Germany,Medium,Expert,6,7397.72
262,39,Spain,Medium,Intermediate,9,5842.7
263,39,Austria,Medium,Intermediate,18,27926.63
264,38,Sweden,Medium,Intermediate,12,29711.9
265,52,Germany,Medium,Novice,12,19069.65
266,61,Netherlands,High,Intermediate,5,13963.49
267,45,Germany,Medium,Intermediate,6,14424.14
268,24,Italy,Low,Novice,10,22324.07
269,19,Germany,Medium,Novice,5,8412.96
270,40,Netherlands,Medium,Novice,13,16721.76
271,44,Spain,Medium,Novice,11,24146.68
272,29,Germany,Medium,Novice,16,29021.23
273,61,France,Medium,Intermediate,14,28323.5
274,32,Italy,Medium,Novice,15,24058.03
275,60,Germany,High,Novice,11,17176.37
276,36,Sweden,Medium,Novice,12,12646.3
277,40,Spain,Low,Expert,16,27557.3
278,62,Netherlands,Medium,Novice,6,10846.86
279,42,Austria,Medium,Novice,6,7884.6
280,54,Netherlands,Medium,Expert,15,32326.28
281,36,Germany,High,Intermediate,11,15442.34
282,35,Germany,Medium,Intermediate,18,45767.03
283,65,Germany,High,Intermediate,15,21241.96
284,36,Austria,Medium,Intermediate,17,33312.29
285,40,France,Medium,Intermediate,10,13924.73
286,61,Austria,Medium,Intermediate,17,37694.25
287,26,Sweden,Low,Intermediate,8,13820.31
288,20,Netherlands,Medium,Novice,10,16792.64
289,41,Sweden,Low,Expert,14,21300.29
290,38,Sweden,Medium,Novice,12,17991.06
291,52,Netherlands,Medium,Expert,13,28083.59
292,28,Netherlands,High,Expert,5,6838.85
293,36,Sweden,High,Expert,11,21574.0
294,47,Germany,Low,Expert,17,27802.6
295,61,Sweden,Medium,Novice,11,27592.57
296,53,Netherlands,Low,Novice,13,21305.46
297,34,Spain,Low,Novice,20,42278.81
298,65,Sweden,Low,Novice,9,10828.77
299,58,Netherlands,Low,Novice,12,34972.32
300,19,Spain,High,Intermediate,8,14335.35
301,57,France,Medium,Intermediate,20,36581.58
302,47,Sweden,Medium,Novice,14,25343.22
303,26,Germany,High,Novice,10,28567.14
304,49,Germany,Low,Expert,18,44824.55
305,26,Italy,Medium,Intermediate,18,27613.81
306,65,Sweden,High,Novice,9,10257.28
307,65,Sweden,Low,Novice,5,15953.18
308,24,Austria,Medium,Novice,5,5014.57
309,35,Germany,Medium,Novice,5,8326.86
310,46,France,High,Novice,15,23942.44
311,61,Netherlands,Medium,Expert,19,25600.95
312,40,Germany,Medium,Novice,13,29676.25
313,25,Austria,High,Novice,17,28920.52
314,31,Sweden,Medium,Expert,20,42017.67
315,21,Austria,Medium,Expert,19,31021.1
316,54,France,Low,Intermediate,18,27952.02
317,31,Spain,Low,Expert,8,9137.83
318,39,Austria,Low,Expert,5,10532.72
319,18,Netherlands,High,Novice,14,19444.53
320,26,Spain,Low,Novice,7,10698.98
321,60,Austria,Low,Novice,16,24887.39
322,33,Spain,Medium,Novice,19,44433.44
323,21,France,Medium,Intermediate,19,40427.53
324,65,Germany,Medium,Intermediate,12,30926.38
325,50,Spain,Low,Intermediate,19,26471.26
326,57,Germany,Medium,Expert,12,16715.39
327,60,Spain,Medium,Intermediate,11,20381.94
328,19,Germany,High,Expert,16,31977.39
329,45,Sweden,Low,Intermediate,16,31833.17
330,46,Germany,High,Novice,13,20070.05
331,27,Germany,Low,Intermediate,20,46299.34
332,55,Spain,Medium,Novice,14,25176.31
333,56,Spain,Low,Intermediate,18,34768.11
334,45,Germany,Medium,Novice,14,24728.73
335,59,Sweden,High,Intermediate,5,5068.0
336,31,Italy,Medium,Novice,5,4094.79
337,39,Austria,Medium,Novice,14,23628.09
338,24,Netherlands,Medium,Intermediate,5,6199.48
339,41,France,Medium,Novice,15,25343.79
340,23,Austria,Low,Novice,11,10588.79
341,65,Sweden,Medium,Novice,17,29038.51
342,21,Spain,High,Intermediate,16,28422.34
343,60,Germany,Medium,Expert,16,33723.97
344,45,Austria,High,Novice,17,41714.34
345,36,Spain,Medium,Novice,8,13884.8
346,50,France,Low,Novice,20,33022.98
347,24,Netherlands,High,Novice,10,14243.78
348,35,Spain,Low,Novice,14,23561.59
349,53,Austria,High,Intermediate,7,5462.48
350,59,Spain,Low,Expert,11,22367.18
351,62,Netherlands,Low,Novice,17,28963.87
352,37,Netherlands,Medium,Novice,15,36055.9
353,27,Spain,Medium,Novice,16,22802.62
354,65,Sweden,High,Novice,13,20158.7
355,51,France,Medium,Novice,19,27166.22
356,28,Netherlands,Medium,Novice,20,32917.1
357,54,Spain,Low,Novice,9,13574.8
358,28,Austria,Medium,Intermediate,18,60322.54
359,35,Italy,Medium,Novice,10,14382.03
360,46,Italy,Low,Intermediate,5,8034.89
361,25,Netherlands,Medium,Novice,5,16205.26
362,61,Spain,Medium,Intermediate,15,34863.4
363,20,France,Medium,Intermediate,8,17646.11
364,18,France,Medium,Novice,6,13175.09
365,26,Austria,Low,Novice,12,16767.99
366,18,Italy,Medium,Novice,5,12311.78
367,42,Spain,Medium,Intermediate,8,21187.96
368,60,Austria,Medium,Novice,14,9153.44
369,65,Germany,Medium,Novice,19,37352.64
370,22,Austria,Medium,Novice,14,43566.44
371,43,Sweden,Medium,Novice,15,26667.58
372,43,Germany,High,Novice,5,4840.8
373,57,Italy,High,Expert,13,34873.71
374,23,Italy,High,Novice,15,24343.19
375,55,Italy,Medium,Novice,17,38477.99
376,37,Sweden,Medium,Novice,16,24869.36
377,28,Germany,Medium,Novice,5,5803.19
378,50,France,High,Novice,9,18197.74
379,64,Austria,Medium,Novice,13,19121.35
380,24,France,Low,Novice,20,47528.56
381,27,Austria,Medium,Novice,15,17195.93
382,58,Italy,Medium,Intermediate,11,24950.27
383,55,Italy,Medium,Expert,7,12062.69
384,59,Sweden,High,Novice,13,18925.98
385,58,Netherlands,Low,Novice,5,13469.08
386,46,Sweden,Medium,Novice,11,33452.05
387,21,Netherlands,Medium,Novice,7,13333.24
388,46,Germany,Low,Expert,11,27689.36
389,22,Sweden,High,Expert,7,5796.76
390,57,Spain,Medium,Novice,5,8620.7
391,53,Austria,Medium,Novice,11,23359.0
392,54,Sweden,Low,Intermediate,13,27428.02
393,50,France,High,Novice,16,39560.97
394,39,Sweden,Low,Intermediate,19,38719.66
395,20,France,Medium,Expert,19,30189.76
396,51,Spain,Medium,Novice,12,27199.47
397,36,Italy,Medium,Novice,12,21069.77
398,56,Germany,Medium,Intermediate,15,24480.39
399,22,Netherlands,Low,Intermediate,9,21962.47
400,36,Netherlands,Medium,Intermediate,20,29379.81
401,56,Austria,Low,Novice,16,44179.5
402,60,France,High,Novice,17,36102.21
403,59,Sweden,Medium,Novice,18,34517.66
404,63,Germany,Medium,Novice,5,13479.07
405,39,Austria,Low,Intermediate,7,13123.35
406,65,Sweden,High,Novice,10,21701.38
407,60,Italy,Medium,Novice,19,36529.08
408,37,France,High,Novice,10,17989.15
409,49,France,Low,Novice,13,41674.76
410,22,Netherlands,High,Novice,19,33244.68
411,52,Austria,Medium,Intermediate,7,9318.71
412,60,Netherlands,High,Intermediate,19,55325.75
413,56,Italy,Low,Novice,14,41125.12
414,62,Austria,Medium,Expert,11,23181.13
415,64,Italy,Low,Novice,6,20594.46
416,64,France,High,Intermediate,18,35491.07
417,65,Austria,Medium,Intermediate,16,25931.39
418,37,Austria,Medium,Expert,15,30045.65
419,30,Netherlands,Medium,Intermediate,16,31044.56
420,46,Italy,Medium,Intermediate,9,17108.54
421,50,Spain,Medium,Novice,11,27752.8
422,30,Austria,Medium,Expert,13,26910.1
423,21,Sweden,Medium,Novice,18,47094.21
424,24,Sweden,High,Expert,17,22996.24
425,36,Germany,Medium,Novice,19,42529.37
426,50,France,High,Novice,13,29562.05
427,32,Austria,Medium,Novice,19,37327.43
428,19,Italy,Low,Intermediate,5,5247.63
429,33,Italy,High,Novice,18,39535.98
430,19,Netherlands,High,Expert,17,31497.78
431,59,Netherlands,Medium,Novice,6,17505.33
432,36,Austria,Medium,Expert,17,52601.37
433,63,Italy,Medium,Novice,7,19322.5
434,23,Germany,Low,Expert,7,6930.34
435,53,Sweden,Medium,Novice,10,9410.74
436,36,France,Medium,Novice,19,40366.26
437,44,Sweden,Medium,Novice,5,5586.15
438,25,Austria,High,Intermediate,8,15187.54
439,19,Sweden,Medium,Novice,14,24681.79
440,27,Netherlands,Medium,Intermediate,15,31878.62
441,33,Spain,Medium,Intermediate,10,21874.28
442,23,Spain,High,Novice,15,24883.44
443,51,Spain,Medium,Expert,19,43043.14
444,53,Germany,Medium,Novice,10,18304.9
445,58,Italy,High,Novice,8,8638.34
446,19,Netherlands,Medium,Novice,18,31449.54
447,64,Sweden,Medium,Intermediate,20,28774.62
448,65,Austria,Medium,Novice,8,16998.08
449,52,Netherlands,High,Novice,8,15861.39
450,61,Italy,High,Novice,8,20592.43
451,29,Austria,Low,Intermediate,9,32392.8
452,47,Germany,Low,Novice,15,16503.09
453,30,Germany,Medium,Novice,16,44616.54
454,43,Austria,Medium,Novice,13,24830.54
455,59,France,Low,Expert,11,22611.12
456,21,Austria,Medium,Novice,7,8755.25
457,41,Italy,High,Intermediate,14,24325.77
458,42,Netherlands,High,Novice,12,21409.69
459,49,Netherlands,High,Intermediate,19,22265.43
460,23,Sweden,Medium,Novice,17,24618.64
461,29,Spain,Low,Novice,12,22705.26
462,38,Sweden,Low,Novice,16,23960.01
463,63,Italy,Low,Novice,15,24600.06
464,46,Germany,Medium,Expert,6,11094.64
465,57,Italy,Low,Expert,18,25417.19
466,21,Germany,Medium,Novice,10,18168.21
467,50,Austria,Medium,Novice,12,32803.11
468,19,France,High,Intermediate,18,39541.11
469,46,Germany,Low,Novice,7,18250.92
470,59,Netherlands,Medium,Expert,18,39088.26
471,20,Spain,Low,Novice,10,22144.21
472,41,Netherlands,Medium,Novice,18,26274.0
473,26,Spain,Medium,Novice,8,13046.52
474,35,France,High,Novice,15,29100.87
475,29,Italy,Medium,Expert,16,30741.97
476,25,Netherlands,Medium,Intermediate,16,37052.94
477,31,Spain,Low,Expert,14,26838.0
478,49,France,Low,Expert,13,18004.08
479,46,France,High,Novice,15,42117.44
480,23,Austria,Medium,Expert,11,14438.62
481,38,Sweden,Medium,Novice,8,6264.8
482,52,Netherlands,High,Expert,20,32802.64
483,63,Sweden,High,Intermediate,16,28749.39
484,41,Spain,Low,Expert,8,25135.61
485,26,France,Medium,Novice,15,26001.54
486,53,Spain,Medium,Expert,10,25546.87
487,53,France,Medium,Novice,13,21972.22
488,37,Italy,High,Intermediate,12,27758.06
489,51,Italy,Medium,Expert,10,21434.62
490,22,France,High,Intermediate,16,29485.93
491,46,Italy,Medium,Novice,18,24201.31
492,53,Sweden,Medium,Intermediate,12,27587.71
493,26,Italy,Medium,Expert,13,20791.59
494,25,Spain,Low,Novice,13,37036.02
495,38,Sweden,Low,Expert,20,29191.3
496,51,Netherlands,High,Novice,7,22875.62
497,58,Spain,Low,Intermediate,11,13708.16
498,57,Spain,Low,Intermediate,11,33483.88
499,55,Spain,Low,Intermediate,9,17432.93
500,64,Spain,Medium,Expert,7,12901.47
501,20,Austria,High,Novice,19,62308.8
502,59,Austria,Medium,Intermediate,20,48357.62
503,54,Italy,Medium,Novice,15,17800.51
504,58,Spain,Low,Expert,12,17766.11
505,48,France,High,Intermediate,12,32224.11
506,37,Italy,Low,Novice,7,14760.58
507,46,Italy,Medium,Novice,18,32592.51
508,56,France,Medium,Intermediate,19,37526.72
509,64,Austria,Medium,Novice,18,45498.04
510,41,Spain,Medium,Novice,16,32798.63
511,47,Germany,Low,Novice,7,10010.49
512,24,Germany,Low,Novice,12,14609.07
513,57,Italy,Low,Expert,18,27309.22
514,28,Austria,Medium,Intermediate,6,16030.16
515,38,France,Medium,Novice,20,31356.02
516,50,Italy,Medium,Novice,12,16800.28
517,19,Germany,High,Intermediate,11,34307.07
518,33,France,Medium,Novice,13,36855.57
519,36,Italy,Medium,Expert,14,25071.12
520,61,Italy,Low,Novice,5,13372.83
521,24,Italy,Low,Novice,8,14747.4
522,41,Austria,Medium,Novice,19,28318.05
523,21,Spain,Medium,Novice,11,14197.4
524,36,Germany,Medium,Novice,5,29981.3
525,53,Netherlands,High,Intermediate,11,17815.59
526,57,Germany,Low,Novice,5,4859.24
527,41,Austria,High,Intermediate,8,11995.93
528,41,Austria,Low,Intermediate,6,7331.21
529,43,Spain,Low,Novice,11,31785.7
530,63,Netherlands,High,Intermediate,12,23925.63
531,27,Spain,High,Novice,15,37382.19
532,57,Netherlands,Low,Expert,11,22081.38
533,65,Austria,Low,Novice,15,26287.37
534,50,Spain,Medium,Intermediate,12,21248.3
535,48,Austria,Low,Novice,8,18639.08
536,25,Italy,Medium,Intermediate,15,40173.93
537,64,Austria,Medium,Novice,8,14406.63
538,48,Netherlands,High,Intermediate,15,31661.29
539,55,Spain,Low,Novice,14,19252.59
540,48,France,Medium,Intermediate,18,31480.55
541,42,France,High,Novice,17,22156.99
542,54,Sweden,Low,Novice,12,33055.27
543,38,Italy,Low,Intermediate,8,15798.71
544,44,Spain,Medium,Expert,12,26444.17
545,65,Sweden,Low,Novice,11,18815.21
546,31,Spain,Medium,Intermediate,10,22903.82
547,51,Italy,Medium,Novice,13,16403.54
548,52,Netherlands,Medium,Intermediate,10,10535.4
549,64,Sweden,Medium,Intermediate,16,22196.73
550,57,Italy,Low,Novice,11,19281.58
551,53,Netherlands,Low,Expert,12,18113.07
552,37,Austria,Low,Novice,17,30787.79
553,63,Italy,Medium,Novice,15,21424.38
554,64,Netherlands,Low,Intermediate,12,27000.98
555,52,Italy,High,Novice,18,48736.56
556,40,Austria,High,Novice,17,41081.79
557,36,Sweden,Low,Expert,14,36061.61
558,59,Netherlands,Medium,Novice,7,21297.55
559,52,Netherlands,High,Intermediate,14,29966.03
560,26,Germany,Medium,Intermediate,7,20421.2
561,33,Germany,Medium,Intermediate,6,12470.92
562,58,France,Low,Novice,18,47197.07
563,63,Italy,Low,Intermediate,20,41078.46
564,18,Spain,High,Novice,8,21952.33
565,59,Italy,Medium,Novice,18,42420.33
566,36,Netherlands,Low,Novice,19,36665.51
567,23,Sweden,Medium,Intermediate,6,7296.66
568,64,Austria,High,Expert,13,25714.74
569,29,Italy,High,Novice,6,14076.98
570,20,Austria,Medium,Novice,5,9952.5
571,65,Austria,High,Expert,13,19123.19
572,18,Netherlands,Medium,Novice,19,27164.11
573,39,Netherlands,Medium,Intermediate,10,13524.38
574,51,Italy,High,Novice,13,24733.42
575,50,Italy,Low,Expert,18,63364.52
576,39,France,Medium,Intermediate,15,34260.88
577,63,France,Low,Novice,11,29678.73
578,36,Spain,Medium,Novice,13,20886.43
579,57,Austria,Medium,Novice,14,29879.81
580,45,Spain,Medium,Novice,12,27981.72
581,24,France,High,Novice,10,18750.34
582,33,Germany,Low,Novice,12,18685.35
583,35,Netherlands,Medium,Intermediate,20,44099.45
584,18,Netherlands,Medium,Intermediate,6,3739.92
585,21,Sweden,Low,Novice,6,15417.86
586,43,Sweden,Medium,Expert,8,19304.31
587,63,Austria,Medium,Novice,12,19469.9
588,36,Netherlands,Medium,Novice,8,11620.58
589,26,Italy,Low,Intermediate,11,24064.92
590,56,Netherlands,Medium,Intermediate,16,27490.61
591,48,Austria,Medium,Intermediate,9,21338.96
592,31,Austria,Low,Intermediate,13,27783.6
593,23,Spain,Medium,Intermediate,18,29554.3
594,22,Spain,Low,Expert,17,33250.75
595,50,France,Medium,Novice,11,18625.0
596,38,Austria,Medium,Novice,5,3449.13
597,31,Sweden,Medium,Novice,7,11208.47
598,50,Italy,High,Novice,15,41782.35
599,50,Italy,Medium,Novice,17,26887.74
600,47,Sweden,High,Intermediate,20,42890.05
601,43,Netherlands,High,Intermediate,7,7734.48
602,55,Germany,Low,Novice,14,20876.76
603,22,Spain,High,Expert,8,15734.41
604,22,Italy,Low,Novice,5,7486.14
605,26,Austria,Medium,Intermediate,14,25006.37
